UMIs	ah5_path	bai_path	bam_path	celltype	designs	library_type	sample	sequencing_type	sorting
FALSE	kallisto_sample_MR_54_61_S141360/abundance.h5	star_sample_MR_54_61_S141360/star_sample_MR_54_61_S141360.bai	star_sample_MR_54_61_S141360/star_sample_MR_54_61_S141360.bam	CMP		first	MR_54_61_S141360	SE	BSF_1518_HM7FMDRX3_1_MR_54_61
FALSE	kallisto_sample_MR_54_62_S141363/abundance.h5	star_sample_MR_54_62_S141363/star_sample_MR_54_62_S141363.bai	star_sample_MR_54_62_S141363/star_sample_MR_54_62_S141363.bam	CMP		first	MR_54_62_S141363	SE	BSF_1518_HM7FMDRX3_1_MR_54_62
FALSE	kallisto_sample_MR_54_63_S141362/abundance.h5	star_sample_MR_54_63_S141362/star_sample_MR_54_63_S141362.bai	star_sample_MR_54_63_S141362/star_sample_MR_54_63_S141362.bam	CMP	global	first	MR_54_63_S141362	SE	BSF_1518_HM7FMDRX3_1_MR_54_63
FALSE	kallisto_sample_MR_54_64_S141365/abundance.h5	star_sample_MR_54_64_S141365/star_sample_MR_54_64_S141365.bai	star_sample_MR_54_64_S141365/star_sample_MR_54_64_S141365.bam	CMP	global	first	MR_54_64_S141365	SE	BSF_1518_HM7FMDRX3_1_MR_54_64
FALSE	kallisto_sample_MR_54_65_S141364/abundance.h5	star_sample_MR_54_65_S141364/star_sample_MR_54_65_S141364.bai	star_sample_MR_54_65_S141364/star_sample_MR_54_65_S141364.bam	CMP	global	first	MR_54_65_S141364	SE	BSF_1518_HM7FMDRX3_1_MR_54_65
FALSE	kallisto_sample_MR_54_66_S141367/abundance.h5	star_sample_MR_54_66_S141367/star_sample_MR_54_66_S141367.bai	star_sample_MR_54_66_S141367/star_sample_MR_54_66_S141367.bam	CMP		first	MR_54_66_S141367	SE	BSF_1518_HM7FMDRX3_1_MR_54_66
FALSE	kallisto_sample_MR_54_67_S141366/abundance.h5	star_sample_MR_54_67_S141366/star_sample_MR_54_67_S141366.bai	star_sample_MR_54_67_S141366/star_sample_MR_54_67_S141366.bam	CMP		first	MR_54_67_S141366	SE	BSF_1518_HM7FMDRX3_1_MR_54_67
FALSE	kallisto_sample_MR_54_68_S141369/abundance.h5	star_sample_MR_54_68_S141369/star_sample_MR_54_68_S141369.bai	star_sample_MR_54_68_S141369/star_sample_MR_54_68_S141369.bam	CMP	global	first	MR_54_68_S141369	SE	BSF_1518_HM7FMDRX3_1_MR_54_68
FALSE	kallisto_sample_MR_54_69_S141368/abundance.h5	star_sample_MR_54_69_S141368/star_sample_MR_54_69_S141368.bai	star_sample_MR_54_69_S141368/star_sample_MR_54_69_S141368.bam	CMP		first	MR_54_69_S141368	SE	BSF_1518_HM7FMDRX3_1_MR_54_69
FALSE	kallisto_sample_MR_54_6_S141377/abundance.h5	star_sample_MR_54_6_S141377/star_sample_MR_54_6_S141377.bai	star_sample_MR_54_6_S141377/star_sample_MR_54_6_S141377.bam	Eos	global	first	MR_54_6_S141377	SE	BSF_1518_HM7FMDRX3_1_MR_54_06
FALSE	kallisto_sample_MR_54_70_S141371/abundance.h5	star_sample_MR_54_70_S141371/star_sample_MR_54_70_S141371.bai	star_sample_MR_54_70_S141371/star_sample_MR_54_70_S141371.bam	CMP		first	MR_54_70_S141371	SE	BSF_1518_HM7FMDRX3_1_MR_54_70
FALSE	kallisto_sample_MR_54_71_S141370/abundance.h5	star_sample_MR_54_71_S141370/star_sample_MR_54_71_S141370.bai	star_sample_MR_54_71_S141370/star_sample_MR_54_71_S141370.bam	CMP	global	first	MR_54_71_S141370	SE	BSF_1518_HM7FMDRX3_1_MR_54_71
FALSE	kallisto_sample_MR_54_72_S141372/abundance.h5	star_sample_MR_54_72_S141372/star_sample_MR_54_72_S141372.bai	star_sample_MR_54_72_S141372/star_sample_MR_54_72_S141372.bam	CMP	global	first	MR_54_72_S141372	SE	BSF_1518_HM7FMDRX3_1_MR_54_72
FALSE	kallisto_sample_MR_54_7_S141380/abundance.h5	star_sample_MR_54_7_S141380/star_sample_MR_54_7_S141380.bai	star_sample_MR_54_7_S141380/star_sample_MR_54_7_S141380.bam	Eos	global	first	MR_54_7_S141380	SE	BSF_1518_HM7FMDRX3_1_MR_54_07
FALSE	kallisto_sample_MR_54_8_S141379/abundance.h5	star_sample_MR_54_8_S141379/star_sample_MR_54_8_S141379.bai	star_sample_MR_54_8_S141379/star_sample_MR_54_8_S141379.bam	Eos	global	first	MR_54_8_S141379	SE	BSF_1518_HM7FMDRX3_1_MR_54_08
FALSE	kallisto_sample_MR_54_9_S141382/abundance.h5	star_sample_MR_54_9_S141382/star_sample_MR_54_9_S141382.bai	star_sample_MR_54_9_S141382/star_sample_MR_54_9_S141382.bam	Eos	global	first	MR_54_9_S141382	SE	BSF_1518_HM7FMDRX3_1_MR_54_09
